,Unnamed: 0,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
157,157,5650 Yves-Gomeze,House,55000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,101.0,2.0, To be done up,0.0
158,158,1367 Ramillies,Chalet,55000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,4.0, To renovate,0.0
159,159,7012 Jemappes,House,55000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,80.0,2.0,Good,0.0
160,160,7600 Pruwelz,House,55000,3.0,122.0,Installed,0.0,0.0,0.0,,0.0,,122.0,78.0,2.0,Good,0.0
161,161,7340 PATURAGES,House,55000,2.0,201.43684820393975,Not installed,0.0,0.0,0.0,,0.0,,201.43684820393975,190.0,2.0,Good,0.0
162,162,7340 WASMES,House,55000,2.0,201.43684820393975,Not installed,0.0,0.0,0.0,,0.0,,201.43684820393975,350.0,2.0,Good,0.0
163,163,5540 Hastiere,Bungalow,55000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
164,164,5660 Couvin,House,55000,3.0,60.0,Installed,0.0,0.0,0.0,,0.0,,60.0,60.0,3.0,Good,0.0
165,165,7340 Colfontaine,House,55000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
166,166,8870 Izegem,House,55000,3.0,125.0,Installed,0.0,0.0,0.0,,0.0,,125.0,158.0,2.0,Good,0.0
167,167,7100 La Louvire,Studio,55000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
168,168,7500 Tournai Ere,House,55000,1.0,42.0,Not installed,0.0,0.0,0.0,,0.0,,42.0,173.0,3.0, To renovate,0.0
169,169,6060 Gilly,House,55000,1.0,40.0,Installed,0.0,0.0,0.0,,0.0,,40.0,40.0,2.0,Good,0.0
170,170,7020 Nimy,House,55000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0, To renovate,0.0
171,171,6060 Gilly,House,56000,2.0,85.0,Installed,0.0,0.0,0.0,,0.0,,85.0,107.0,2.0,Good,0.0
172,172,5170 Profondeville,Studio,56000,2.0,27.0,Semi equipped,0.0,0.0,0.0,,1.0,60000.0,27.0,27.0,2.0, Good,0.0
173,173,4621 Flron,House,57000,4.0,114.0,Semi equipped,0.0,0.0,0.0,,0.0,,114.0,260.0,2.0, To be done up,0.0
174,174,6044 Roux,House,57000,1.0,80.0,Semi equipped,0.0,0.0,0.0,,1.0,61.0,80.0,80.0,2.0, To renovate,0.0
175,175,6000 Charleroi,Studio,58000,1.0,74.0,Installed,0.0,0.0,0.0,,0.0,,74.0,74.0,2.0,Good,0.0
176,176,8660 La Panne,Apartment,58000,1.0,31.0,Installed,1.0,0.0,0.0,,0.0,,31.0,31.0,2.0, To be done up,0.0
